Ranking,Company,Nation,HQ,Sector,Industry,Web
209,Tokio Marine Holdings,Japan,Tokyo,Financials,Insurance: Property and Casualty (Stock),www.tokiomarinehd.com
210,Centene,U.S.,St. Louis,Health Care,Health Care: Insurance and Managed Care,www.centene.com
211,Deutsche Bahn,Germany,Berlin,Transportation,Railroads,www.deutschebahn.com
212,Cisco Systems,U.S.,"San Jose, Calif.",Technology,Network and Other Communications Equipment,www.cisco.com
213,China Merchants Bank,China,"Shenzhen, China",Financials,Banks: Commercial and Savings,www.cmbchina.com
214,RWE,Germany,"Essen, Germany",Energy,Utilities,www.rwe.com
215,HCA Healthcare,U.S.,Nashville,Health Care,Health Care: Medical Facilities,http://www.hcahealthcare.com
216,State Bank of India,India,Mumbai,Financials,Banks: Commercial and Savings,www.sbi.co.in
217,Energy Transfer Equity,U.S.,Dallas,Energy,Pipelines,www.energytransfer.com
218,ThyssenKrupp,Germany,"Essen, Germany",Materials,Metals,www.thyssenkrupp.com
219,Kia Motors,South Korea,Seoul,Motor Vehicles & Parts,Motor Vehicles & Parts,www.kia.com
220,China Pacific Insurance (Group),China,Shanghai,Financials,"Insurance: Life, Health (stock)",www.cpic.com.cn
221,MS&AD Insurance Group Holdings,Japan,Tokyo,Financials,Insurance: Property and Casualty (Stock),www.ms-ad-hd.com
222,Aluminum Corp. of China,China,Beijing,Materials,Metals,www.chalco.com.cn
223,Deutsche Bank,Germany,Frankfurt,Financials,Banks: Commercial and Savings,www.db.com
224,Banco Bilbao Vizcaya Argentaria,Spain,"Bilbao, Spain",Financials,Banks: Commercial and Savings,www.bbva.com
225,Orange,France,Paris,Telecommunications,Telecommunications,www.orange.com
226,Vinci,France,"Rueil-Malmaison, France",Engineering & Construction,Engineering & Construction,www.vinci.com
227,Shanghai Pudong Development Bank,China,Shanghai,Financials,Banks: Commercial and Savings,www.spdb.com.cn
228,Woolworths Group,Australia,"Bella Vista, Australia",Food & Drug Stores,Food & Drug Stores,http://www.woolworthslimited.com.au
229,Denso,Japan,"Kariya, Japan",Motor Vehicles & Parts,Motor Vehicles & Parts,www.denso.com/global
230,China Evergrande Group,China,"Shenzen, China",Financials,Real estate,www.evergrande.com
231,Saint-Gobain,France,"Courbevoie, France",Materials,"Building Materials, Glass",www.saint-gobain.com
232,Tata Motors,India,Mumbai,Motor Vehicles & Parts,Motor Vehicles & Parts,www.tatamotors.com
233,Bunge,U.S.,"White Plains, N.Y.","Food, Beverages & Tobacco",Food Production,www.bunge.com
234,Shandong Energy Group,China,"Jinan , China",Energy,"Mining, Crude-Oil Production",www.snjt.com
235,Hengli Group,China,"Suzhou City, China",Industrials,Textiles,www.hengli.com
236,KDDI,Japan,Tokyo,Telecommunications,Telecommunications,www.kddi.com
237,Industrial Bank,China,"Fuzhou, China",Financials,Banks: Commercial and Savings,www.cib.com.cn
238,Caterpillar,U.S.,"Deerfield, Ill.",Industrials,Construction and Farm Machinery,www.caterpillar.com
239,HBIS Group,China,"Shijiazhuang, China",Materials,Metals,www.hbisco.com
240,Lenovo Group,China,Hong Kong,Technology,"Computers, Office Equipment",www.lenovo.com
241,Manulife Financial,Canada,"Toronto, Ontario, Canada",Financials,"Insurance: Life, Health (stock)",www.manulife.com
242,China South Industries Group,China,Beijing,Aerospace & Defense,Aerospace & Defense,www.chinasouth.com.cn
243,China National Building Material Group,China,Beijing,Materials,"Building Materials, Glass",www.cnbm.com.cn
244,Hanwha,South Korea,Seoul,Financials,"Insurance: Life, Health (stock)",www.hanwhacorp.co.kr
