Magazine,Date,Author,Title,Url,Company
the-washington-post,2019-07-22T14:14:43Z,James Hohmann,The Daily 202: Trump is mum on Hong Kong as mobs attack protesters and China challenges U.S. influence,https://www.washingtonpost.com/news/powerpost/paloma/daily-202/2019/07/22/daily-202-07222019-daily202/5d355f4ba7a0a46ab00883d5/,Facebook
the-washington-post,2019-07-22T18:45:59Z,https://www.facebook.com/reglash,International agencies call Israeli demolition of Palestinian homes illegal,https://www.washingtonpost.com/world/middle_east/international-agencies-call-israeli-demolition-of-palestinian-homes-illegal/2019/07/22/7b345a36-ac8c-11e9-9411-a608f9d0c2d3_story.html,Facebook
the-washington-post,2019-07-22T21:21:11Z,,"Mexico, under pressure from Trump, says migrant flow has dropped 36%",https://www.washingtonpost.com/world/the_americas/mexico-under-pressure-from-trump-says-migrant-flow-has-dropped-36percent/2019/07/22/16143fda-aca6-11e9-9411-a608f9d0c2d3_story.html,Facebook
the-washington-post,2019-07-22T17:17:15Z,,"Turkey has deported hundreds of Syrian migrants, advocates and refugees say",https://www.washingtonpost.com/world/turkey-has-deported-hundreds-of-syrian-migrants-advocates-and-refugees-say/2019/07/22/14114c9c-ac87-11e9-9411-a608f9d0c2d3_story.html,Facebook
the-washington-post,2019-07-23T10:11:45Z,https://www.facebook.com/chicoharlan,Vatican appoints new bishop to scandal-hit West Virginia diocese,https://www.washingtonpost.com/world/vatican-appoints-new-bishop-to-scandal-hit-west-virginia-diocese/2019/07/23/5e67c3fc-ad2c-11e9-bc5c-e73b603e7f38_story.html,Facebook
the-washington-post,2019-07-22T10:00:00Z,,"'Anyone could be a threat': In Bolsonaro's Brazil, LGBT people take personal defense into their own hands",https://www.washingtonpost.com/world/the_americas/anyone-could-be-a-threat-in-bolsonaros-brazil-lgbt-people-are-taking-personal-defense-into-their-own-hands/2019/07/21/5aaa7578-a716-11e9-a3a6-ab670962db05_story.html,Facebook
the-washington-post,2019-07-22T00:53:12Z,,Clashes involving Hong Kong's protest movement grow violent,https://www.washingtonpost.com/world/asia_pacific/clashes-involving-hong-kongs-protest-movement-grow-violent/2019/07/21/14100bbe-ac1b-11e9-9411-a608f9d0c2d3_story.html,Facebook
the-washington-post,2019-07-23T10:07:12Z,,Hong Kong police have faced protester anger. Some would rather be on the other side.,https://www.washingtonpost.com/world/asia_pacific/hong-kong-police-have-faced-protester-anger-some-would-rather-be-on-the-other-side/2019/07/23/211e9b5c-a862-11e9-8733-48c87235f396_story.html,Facebook
the-washington-post,2019-07-23T09:17:03Z,https://www.facebook.com/william.booth.5074?fref=ts,Boris Johnson expected to win British prime minister vote,https://www.washingtonpost.com/world/europe/boris-johnson-expected-to-win-british-prime-minister-vote/2019/07/23/0e63fc8e-ac93-11e9-9411-a608f9d0c2d3_story.html,Facebook
the-washington-post,2019-07-22T12:08:53Z,Cat Zakrzewski,The Technology 202: Knight Foundation invests $50 million into research on tech's impact on democracy,https://www.washingtonpost.com/news/powerpost/paloma/the-technology-202/2019/07/22/the-technology-202-knight-foundation-invests-50-million-into-research-on-tech-s-impact-on-democracy/5d34a0541ad2e5592fc35a70/,Netflix
the-washington-post,2019-07-22T11:39:12Z,Joseph Marks,The Cybersecurity 202: Trump's commitment to Huawei bans faces stress test today,https://www.washingtonpost.com/news/powerpost/paloma/the-cybersecurity-202/2019/07/22/the-cybersecurity-202-trump-s-commitment-to-huawei-bans-faces-stress-test-today/5d34ee571ad2e5592fc35a74/,Huawei
the-washington-post,2019-07-22T16:51:39Z,,Facebook vs the feds: The tech giant will have to pay a record fine for violating users’ privacy. But the FTC wanted more. - The Washington Post,https://www.washingtonpost.com/technology/2019/07/22/facebook-vs-feds-inside-story-multi-billion-dollar-tech-giants-privacy-war-with-washington/,Huawei
the-washington-post,2019-07-22T10:54:47Z,"https://www.facebook.com/ellennakashimapost/, https://www.facebook.com/John.P.Hudson2",Leaked documents reveal Huawei's secret operations to build North Korea's wireless network,https://www.washingtonpost.com/world/national-security/leaked-documents-reveal-huaweis-secret-operations-to-build-north-koreas-wireless-network/2019/07/22/583430fe-8d12-11e9-adf3-f70f78c156e8_story.html,Huawei
the-washington-post,2019-07-22T14:14:43Z,James Hohmann,The Daily 202: Trump is mum on Hong Kong as mobs attack protesters and China challenges U.S. influence,https://www.washingtonpost.com/news/powerpost/paloma/daily-202/2019/07/22/daily-202-07222019-daily202/5d355f4ba7a0a46ab00883d5/,Huawei
the-washington-post,2019-07-22T14:14:43Z,James Hohmann,The Daily 202: Trump is mum on Hong Kong as mobs attack protesters and China challenges U.S. influence,https://www.washingtonpost.com/news/powerpost/paloma/daily-202/2019/07/22/daily-202-07222019-daily202/5d355f4ba7a0a46ab00883d5/,Tencent
the-washington-post,2019-07-22T11:39:12Z,Joseph Marks,The Cybersecurity 202: Trump's commitment to Huawei bans faces stress test today,https://www.washingtonpost.com/news/powerpost/paloma/the-cybersecurity-202/2019/07/22/the-cybersecurity-202-trump-s-commitment-to-huawei-bans-faces-stress-test-today/5d34ee571ad2e5592fc35a74/,Qualcomm
time,2019-07-23T01:55:45Z,By KEVIN FREKING and MARCY GORDON / AP,Trump Meets With Chipmakers on Huawei and Other Economic Issues,https://time.com/5632247/trump-meets-chipmakers-huawei-economic-issues-china/,Google
time,2019-07-22T14:44:50Z,Stephanie Zacharek,"‘Nothing Lasts Forever.’ Quentin Tarantino on Sharon Tate, Once Upon a Time … in Hollywood and Retirement",https://time.com/5595352/quentin-tarantino-interview-once-upon-a-time-in-hollywood/,Google
time,2019-07-23T01:55:45Z,By KEVIN FREKING and MARCY GORDON / AP,Trump Meets With Chipmakers on Huawei and Other Economic Issues,https://time.com/5632247/trump-meets-chipmakers-huawei-economic-issues-china/,Intel
time,2019-07-23T01:55:45Z,By KEVIN FREKING and MARCY GORDON / AP,Trump Meets With Chipmakers on Huawei and Other Economic Issues,https://time.com/5632247/trump-meets-chipmakers-huawei-economic-issues-china/,Cisco
time,2019-07-22T20:44:15Z,Josiah Bates,"Louisiana Police Officer, Spurred by a Fake News Story, Implied Rep. Ocasio-Cortez Should Be Shot",https://time.com/5631894/louisiana-police-fake-news-alexandria-ocasio-cortez-round/,Facebook
time,2019-07-22T15:36:50Z,Melissa Locker,There’s a Warning for the Thousands Who Signed Up to ‘Storm Loch Ness’ Because ‘Nessie Can’t Hide From Us All’,https://time.com/5631644/loch-ness-storm/,Facebook
time,2019-07-22T15:06:55Z,Rachel E. Greenspan,Alternate Idea: Man Behind the Area 51 Raid Thinks an EDM Festival With ‘Up and Coming’ Guys Could Work Instead,https://time.com/5631571/area-51-raid-festival/,Facebook
time,2019-07-22T17:31:36Z,Rachel E. Greenspan,Police Admit They Were Totally Just Joking About Those ‘Meth-Gators’,https://time.com/5631753/meth-gator-police-statement/,Facebook
time,2019-07-22T03:47:57Z,Danica Coto / AP,"Puerto Rico’s Embattled Governor Says He Won’t Step Down, But Won’t Run Again",https://time.com/5631349/puerto-rico-governor-wont-resign/,Facebook
time,2019-07-22T19:13:27Z,Suyin Haynes,A Guide to the Many Setbacks That Have Plagued the Bond 25 Production,https://time.com/5627267/bond-25-production-troubles/,Netflix
time,2019-07-22T22:00:02Z,Time,Forget Game of Thrones. Orange Is the New Black Is the Most Important TV Show of the Decade,https://time.com/5631804/orange-is-the-new-black-season-7-legacy/,Netflix
time,2019-07-22T03:47:57Z,Danica Coto / AP,"Puerto Rico’s Embattled Governor Says He Won’t Step Down, But Won’t Run Again",https://time.com/5631349/puerto-rico-governor-wont-resign/,Netflix
time,2019-07-23T01:55:45Z,By KEVIN FREKING and MARCY GORDON / AP,Trump Meets With Chipmakers on Huawei and Other Economic Issues,https://time.com/5632247/trump-meets-chipmakers-huawei-economic-issues-china/,Huawei
time,2019-07-22T09:47:34Z,AMY GUNIA / HONG KONG,Shares Soar on First Day of Trading for China’s Nasdaq Rival,https://time.com/5631365/china-tech-board-star-market-launch/,Tencent
time,2019-07-23T01:55:45Z,By KEVIN FREKING and MARCY GORDON / AP,Trump Meets With Chipmakers on Huawei and Other Economic Issues,https://time.com/5632247/trump-meets-chipmakers-huawei-economic-issues-china/,Qualcomm
usa-today,2019-07-22T22:25:08Z,"USA TODAY, The Editorial Board, USA TODAY",Mueller testimony: Audio version of special counsel report will help Americans judge,https://www.usatoday.com/story/opinion/2019/07/22/mueller-testimony-audio-version-mueller-report-you-judge-editorials-debates/1702731001/?utm_source=google&utm_medium=amp&utm_campaign=speakable,Apple
usa-today,2019-07-22T16:56:31Z,"Reviewed.com, Shayna Murphy, Reviewed.com",The 7 best deals you can get this Monday,https://www.usatoday.com/story/tech/reviewedcom/2019/07/22/best-monday-deals-sony-wh-1000-xm-3-headphones-label-makers-and-more/1793575001/?utm_source=google&utm_medium=amp&utm_campaign=speakabl,Apple
usa-today,2019-07-22T20:06:58Z,"USA TODAY, Mike Snider, USA TODAY","Lost without CBS? There are ways to watch despite AT&T-CBS standoff on DirecTV, U-verse",https://www.usatoday.com/story/tech/news/2019/07/22/at-t-vs-cbs-ways-watch-since-directv-u-verse-dropped-network/1796491001/?utm_source=google&utm_medium=amp&utm_campaign=speakable,Apple
usa-today,2019-07-22T20:11:19Z,"USA TODAY, Dalvin Brown, USA TODAY",Equifax data breach settlement: How to unfreeze your credit report,https://www.usatoday.com/story/money/2019/07/22/equifax-settlement-how-unfreeze-your-credit-report/1796874001/?utm_source=google&utm_medium=amp&utm_campaign=speakable,Apple
usa-today,2019-07-22T20:08:34Z,"Associated Press, Rebecca Santana and Kevin McGill, Associated Press","Art Neville, member of Neville Brothers, Meters, dies at 81",https://www.usatoday.com/story/entertainment/music/2019/07/22/art-neville-neville-brothers-meters-dies-81/1798782001/?utm_source=google&utm_medium=amp&utm_campaign=speakable,Apple
